,parnme,partrans,parchglim,parval1,parlbnd,parubnd,pargp,scale,offset,dercom,i,inst,j,pname,pstyle,ptype,x,y,zone
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:12_x:3125.00_y:375.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:12_x:3125.00_y:375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,38,0,12,hk,m,gr,3125.00,375.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:13_x:3375.00_y:375.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:13_x:3375.00_y:375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,38,0,13,hk,m,gr,3375.00,375.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:14_x:3625.00_y:375.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:14_x:3625.00_y:375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,38,0,14,hk,m,gr,3625.00,375.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:15_x:3875.00_y:375.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:15_x:3875.00_y:375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,38,0,15,hk,m,gr,3875.00,375.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:16_x:4125.00_y:375.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:38_j:16_x:4125.00_y:375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,38,0,16,hk,m,gr,4125.00,375.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:5_x:1375.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:5_x:1375.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,5,hk,m,gr,1375.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:6_x:1625.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:6_x:1625.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,6,hk,m,gr,1625.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:7_x:1875.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:7_x:1875.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,7,hk,m,gr,1875.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:8_x:2125.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:8_x:2125.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,8,hk,m,gr,2125.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:9_x:2375.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:9_x:2375.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,9,hk,m,gr,2375.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:10_x:2625.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:10_x:2625.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,10,hk,m,gr,2625.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:11_x:2875.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:11_x:2875.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,11,hk,m,gr,2875.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:12_x:3125.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:12_x:3125.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,12,hk,m,gr,3125.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:13_x:3375.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:13_x:3375.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,13,hk,m,gr,3375.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:14_x:3625.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:14_x:3625.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,14,hk,m,gr,3625.00,125.00,1
pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:15_x:3875.00_y:125.00_zone:1,pname:hk_layer_1_inst:0_ptype:gr_pstyle:m_i:39_j:15_x:3875.00_y:125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_1,1.0,0.0,1,39,0,15,hk,m,gr,3875.00,125.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:0_x:125.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:0_x:125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,0,hk,m,gr,125.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:1_x:375.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:1_x:375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,1,hk,m,gr,375.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:2_x:625.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:2_x:625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,2,hk,m,gr,625.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:3_x:875.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:3_x:875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,3,hk,m,gr,875.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:4_x:1125.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:4_x:1125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,4,hk,m,gr,1125.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:5_x:1375.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:5_x:1375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,5,hk,m,gr,1375.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:6_x:1625.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:6_x:1625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,6,hk,m,gr,1625.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:7_x:1875.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:7_x:1875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,7,hk,m,gr,1875.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:8_x:2125.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:8_x:2125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,8,hk,m,gr,2125.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:9_x:2375.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:9_x:2375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,9,hk,m,gr,2375.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:10_x:2625.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:10_x:2625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,10,hk,m,gr,2625.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:11_x:2875.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:11_x:2875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,11,hk,m,gr,2875.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:12_x:3125.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:12_x:3125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,12,hk,m,gr,3125.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:13_x:3375.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:13_x:3375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,13,hk,m,gr,3375.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:14_x:3625.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:14_x:3625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,14,hk,m,gr,3625.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:15_x:3875.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:15_x:3875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,15,hk,m,gr,3875.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:16_x:4125.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:16_x:4125.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,16,hk,m,gr,4125.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:17_x:4375.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:17_x:4375.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,17,hk,m,gr,4375.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:18_x:4625.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:18_x:4625.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,18,hk,m,gr,4625.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:19_x:4875.00_y:9875.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:0_j:19_x:4875.00_y:9875.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,0,0,19,hk,m,gr,4875.00,9875.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:0_x:125.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:0_x:125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,0,hk,m,gr,125.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:1_x:375.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:1_x:375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,1,hk,m,gr,375.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:2_x:625.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:2_x:625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,2,hk,m,gr,625.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:3_x:875.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:3_x:875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,3,hk,m,gr,875.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:4_x:1125.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:4_x:1125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,4,hk,m,gr,1125.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:5_x:1375.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:5_x:1375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,5,hk,m,gr,1375.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:6_x:1625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,6,hk,m,gr,1625.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:7_x:1875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,7,hk,m,gr,1875.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:8_x:2125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,8,hk,m,gr,2125.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:9_x:2375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,9,hk,m,gr,2375.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:10_x:2625.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:10_x:2625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,10,hk,m,gr,2625.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:11_x:2875.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:11_x:2875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,11,hk,m,gr,2875.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:12_x:3125.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:12_x:3125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,12,hk,m,gr,3125.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:13_x:3375.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:13_x:3375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,13,hk,m,gr,3375.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:14_x:3625.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:14_x:3625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,14,hk,m,gr,3625.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:15_x:3875.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:15_x:3875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,15,hk,m,gr,3875.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:16_x:4125.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:16_x:4125.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,16,hk,m,gr,4125.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:17_x:4375.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:17_x:4375.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,17,hk,m,gr,4375.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:18_x:4625.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:18_x:4625.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,18,hk,m,gr,4625.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:19_x:4875.00_y:9625.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:1_j:19_x:4875.00_y:9625.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,1,0,19,hk,m,gr,4875.00,9625.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:0_x:125.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:0_x:125.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,0,hk,m,gr,125.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:1_x:375.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:1_x:375.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,1,hk,m,gr,375.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:2_x:625.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:2_x:625.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,2,hk,m,gr,625.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:3_x:875.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:3_x:875.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,3,hk,m,gr,875.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:4_x:1125.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:4_x:1125.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,4,hk,m,gr,1125.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:5_x:1375.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:5_x:1375.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,5,hk,m,gr,1375.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:6_x:1625.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:6_x:1625.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,6,hk,m,gr,1625.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:7_x:1875.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:7_x:1875.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,7,hk,m,gr,1875.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:8_x:2125.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:8_x:2125.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,8,hk,m,gr,2125.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:9_x:2375.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:9_x:2375.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,9,hk,m,gr,2375.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:10_x:2625.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:10_x:2625.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,10,hk,m,gr,2625.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:11_x:2875.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:11_x:2875.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,11,hk,m,gr,2875.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:12_x:3125.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:12_x:3125.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,12,hk,m,gr,3125.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:13_x:3375.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:13_x:3375.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,13,hk,m,gr,3375.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:14_x:3625.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:14_x:3625.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,14,hk,m,gr,3625.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:15_x:3875.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:15_x:3875.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,15,hk,m,gr,3875.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:16_x:4125.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:16_x:4125.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,16,hk,m,gr,4125.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:17_x:4375.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:17_x:4375.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,17,hk,m,gr,4375.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:18_x:4625.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:18_x:4625.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,18,hk,m,gr,4625.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:19_x:4875.00_y:9375.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:2_j:19_x:4875.00_y:9375.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,2,0,19,hk,m,gr,4875.00,9375.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:0_x:125.00_y:9125.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:0_x:125.00_y:9125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,3,0,0,hk,m,gr,125.00,9125.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:1_x:375.00_y:9125.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:1_x:375.00_y:9125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,3,0,1,hk,m,gr,375.00,9125.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:2_x:625.00_y:9125.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:2_x:625.00_y:9125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,3,0,2,hk,m,gr,625.00,9125.00,1
pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:3_x:875.00_y:9125.00_zone:1,pname:hk_layer_3_inst:0_ptype:gr_pstyle:m_i:3_j:3_x:875.00_y:9125.00_zone:1,log,factor,1.0,0.1,10.0,hk_layer_3,1.0,0.0,1,3,0,3,hk,m,gr,875.00,9125.00,1
